,text,type,dataset
2000,Urgently needed some volunteers who have good command over english language for #earthquake relief contact 9840093843,0,Nepal Earthquake
2001,"#parentsteachermeet We student of GNDU under depression, for final semester exams in this covid19 outbreak as we can't take risk, many universities/govt.are cancelling exams for safety of students like Odisha, Maharashtra, IIT's,NIIT's,UGC must cancel&amp;promote students for safety",2,Covid-19
2002,"Big earthquake in Nepal: We need your support !
http://t.co/9HyopmSP9h",2,Nepal Earthquake
2003,"ENEL mobilises 100 generators for #quake victims 

#earthquake #Italy

Via GazzettaDelSud

https://t.co/xqfB7N2HIH",1,Italy Earthquake
2004,#COVID19 \nLockdown is not the solution... educate people well about Covid19.... else govt. is just delaying the spread.\nConsider it ....,2,Covid-19
2005,"RT @insan_guruka: @aboutGandhi #MSGHelpEarthquakeVictims 
Dera Sacha Sauda mobilized 16000 food Packages to Nepal. 
@Gurmeetramrahim",1,Nepal Earthquake
2006,"Rahul Kanwal openly praises RSS efforts in Nepal earthquake
but cant report in MSM coz it is""against their... http://t.co/2gpXJ3Y4gO",2,Nepal Earthquake
2007,"RT @Goal_Nepal: Saraswoti Youth Club president Sikchhit Parajuli, VP Uttam Bhandari and his team is providing food to earthquake... http://…",1,Nepal Earthquake
2008,"EarthQuake measuring 6.7 on Richter Scale hits Myanmar. Tremors felt in northeast, West Bengal, #Odisha and Bihar",2,Italy Earthquake
2009,#ItalyEarthquake @WHO @crocerossa Field guide for crush injuries in earthquakes for medics (for print/distribute) RT https://t.co/8nGSvCpfQe,1,Italy Earthquake
2010,"Nepal Earthquake: Hindu Seva, Christian Service and Islamic Dawah. http://t.co/jwLpVTVoqh via @upananda",2,Nepal Earthquake
2011,"Italy earthquake: have you been affected? https://t.co/HipugRAGcq The Guardian World News 

A magnitude 6.2 earthquake hit Italy Wednesday…",2,Italy Earthquake
2012,The ongoing #COVID19 pandemic has changed the perspective of brain drain in many different ways. Will there be \u201ctalent hunt\u201d or \u201ctalent war\u201d among the countries in the near future after the #pandemic?\nhttps://t.co/nEFzK83CiL,2,Covid-19
2013,Sir DTU is forcing us for giving end term exams. They are not understanding that \nwe can't give exams in such pandemic situation where we are finding our knowns tested positive for covid19. Please cancel our exams @ArvindKejriwal @msisodia #CancelDTUExamss,2,Covid-19
2014,"PDC Earthquake - 5.0 - 25km E of Khudi, Nepal: EARTHQUAKE (ADVISORY) http://t.co/7aVtpKkl1k",2,Nepal Earthquake
2015,Facebook rolls out ‘Donate’ button for #Nepalearthquake relief:#earthquake #NepalQuakeRelief #Nepal #IndiaWithNepal  https://t.co/CGrqEcoyjY,2,Nepal Earthquake
2016,RT @TibetanWomen: RTWA Nepal relief work for the victims of the recent earthquake in Nepal. http://t.co/UKGlTN9tbF,2,Nepal Earthquake
2017,How You Can Take Your Business To New Heights With Digital Marketing\n\n#DigitalMarketing #business #COVID19 #HackerNews #Marketing #MarketingDigital #customers #SEO #contentmarketing #leadgeneration #MarketingStrategy \n\nhttps://t.co/fBkMbljuOA,2,Covid-19
2018,"COVID19: [CA Examination] SC Seeks ICAI's Response In Plea Seeking Stay On \Opt-Out\"" Scheme https://t.co/mnxKfvfDyg""",2,Covid-19
2019,"If you are a doctor interested to help in Nepal, contact us today at helpnepal@curofy.com #Nepal #HelpNepal #Earthquake #NepalQuakeRelief",0,Nepal Earthquake
2020,"RT @aloksinha2001: RT @anirmukerji: RT @Krittivasm: 50% of houses in #Nepal damaged, commodities supply low, 5,000 tents need fr patients a…",0,Nepal Earthquake
2021,Kudos to the Italians in line to donate blood for the earthquake victims in Amatrice. https://t.co/wtqqfE3snd,1,Italy Earthquake
2022,"Supporting earthquake survivors in Bhaktapur

As part of Sneha Campaign, Women Rehabilitation Center (WOREC) and... http://t.co/CAcWC7JWWV",2,Nepal Earthquake
2023,I have heard Bible have arrived for victims for earthquake. What we do with that? We eat or we make tent. Is this time for advt of religion?,2,Nepal Earthquake
2024,@BBCBreaking Service call 4 #earthquake #live #free  twitter https://t.co/r6IDzq6eSG   and  #photostream https://t.co/O1m4l1Qmej,1,Italy Earthquake
2025,"#Covid19 update #Delhi, June 26, 2020!! 3460 positive cases &amp; 63 deaths today. Tally positive cases 77,240. Recoveries 47091. Death toll 2492. https://t.co/QCcUmf4HbP",2,Covid-19
2026,RT @mlkhattar: Celebrating my birthday with simplicity in view of Nepal earthquake - requesting all to lend a helping hand for victims in a…,2,Nepal Earthquake
2027,consider here to Support #Nepal earthquake survivors Help out!Give to Nepal Relief Fund-for Food &amp;Water need urgent http://t.co/p61KNiTp5x.,0,Nepal Earthquake
2028,"【ML3.1】AZORES ISLANDS, PORTUGAL 1km Aug 24, 2016 18:22:15 UTC (G)https://t.co/dnsAypW9Gh (EMSC)https://t.co/dZBOFi08hG",2,Italy Earthquake
2029,#PrayForItaly It's terrible to think that there was that big of an Earthquake in somewhere that i've been to many times,2,Italy Earthquake
2030,Help quake victims near you by disabling your Wi-Fi password https://t.co/cARM7CwRxd,0,Italy Earthquake
2031,Businesses and shops voluntarily close down to curb #COVID19 in #Hyderabad\n\nhttps://t.co/vINKxaAFgE @naveengarewal,2,Covid-19
2032,@PakistanPMZardariatB you sent non veg food packs to Nepal for earthquake victims? Allah will never forgive you for your stupid act!!,2,Nepal Earthquake
2033,Italy quake kills 159 as rescuers race to find survivors https://t.co/Hy6cUoh8bT via @TOIWorld God help the needy one..All be safe....,1,Italy Earthquake
2034,"Theft must be the oldest profession after sex. Abandoned houses in  #NepalEarthquake face thieves, as in 90 (BS) and every earthquake.",2,Nepal Earthquake
2035,Exclusive News (Haryana government will send food package and blankets in nepal 12301485) has been published on... http://t.co/WLDx06duOa,1,Nepal Earthquake
2036,RT @SudaceThapa: Urgent #NepalQuake : Blood shortage in #Kathmandu. For Blood donation call Dr. Manita at 98510-84500 at Nepal Red Cross Bl…,0,Nepal Earthquake
2037,RT @WSJ: Nepal earthquake: Images from the Everest base camp. http://t.co/BweHOvINvp http://t.co/ruSt2bEf4P,2,Nepal Earthquake
2038,"This Is How Bangla Sahib Sends 25,000 Food Packets To Victims Of Nepal Earthquake http://t.co/QeieiVMiGG",1,Nepal Earthquake
2039,"@9Appscom #9AppsSloganSolicitFEEL THE EARTHQUAKE SPEED OF 9~",2,Nepal Earthquake
2040,RT @sachinkarki: #IndianMedia are making fun of everything like they will never have a earthquake in India,2,Nepal Earthquake
2041,"RT @cnnbrk: At least 50 bodies pulled from ruins after earthquake levels historic tower in Nepal, survivor says. http://t.co/c0JhbgX6lJ",2,Nepal Earthquake
2042,RT PLZ Bloodbanks of #Nepal Capital Hospital 4244022 Shree Satya Sai Centre 4498035 #India #Indian #IPL #Earthquake,1,Nepal Earthquake
2043,Dr Sharon  and  Dr Dalia visited from NATAN relief-israel .We had discussed about medical camp for earthquake... http://t.co/0d8FO4up8D,1,Nepal Earthquake
2044,Home Insurance In High Demand After Nepal Earthquake http://t.co/Tm4DRCclEY,2,Nepal Earthquake
2045,#COVID19 #Rajasthan\n#rajasthancoronaupdate\n8:30pm Report\n364+ve cases &amp; 1 Death Reported\n60 #Jaipur \nCumulative+ve 16660\nActive +ve 3218\nDeaths 380\nCured 13062\nDischarged 12772\nMigrants +ve 4776\n\ud83d\udc47 https://t.co/CsX1rQk6nu,2,Covid-19
2046,RT @ItsSwaRnima: Earthquake n its aftermath was the worst experience of my life but it taught some valuable lifelessons. http://t.co/zlJC0a…,2,Nepal Earthquake
2047,"Even in a ""normal"" non-earthquake year,I've read their height increases ~1cm annually. Geologically, that's huge. #NepalQuake @TimesNow",2,Nepal Earthquake
2048,Italy earthquake urgent blood donations needed #Rieti https://t.co/KWbl5HA1eG,0,Italy Earthquake
2049,"Team of Orthopedic, Neurosurgeon, General medicine &amp; Anesthetic ready to be dispatched to Nepal. Waiting for NDRF to call. #IndiaWithNepal",1,Nepal Earthquake
2050,RT @ticket65dotcom: To help earthquake victims in Nepal Golden Temple to send 1 lakh meals packets daily http://t.co/fJIZnKkB2Q,1,Nepal Earthquake
2051,"Now feel again #earthquake in Baharampur, West Bengal, India",2,Nepal Earthquake
2052,RT @amarjotshar169: #NepalDisasterReliefByMSG incredible medical treatment for earthquake victims on d same place by @derasachasauda http:/…,1,Nepal Earthquake
2053,10 dead in #Earthquake #PrayForItaly,2,Italy Earthquake
2054,"Some locations a challenge to reach, Italian residents dig in rubble: The 6.2-magnitude earthquake badly damaged villages in a mounta...",2,Italy Earthquake
2055,"RT @545c60f22d274a9: #MSGHelpEarthquakeVictims 
As per the reqmnt raised by PMO,16000 packed food has already been dispatched to Nepal in m…",1,Nepal Earthquake
2056,Love #Italy. Sad  re earthquake but great destination still.   https://t.co/3CsOpQWBmB via @youtube,2,Italy Earthquake
2057,"Let's pray for + Italy + .. &gt;&gt; RT: Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/ebwicbuhxF via @nbcnews",1,Italy Earthquake
2058,"\u092e\u0941\u0902\u092c\u0908 \u092e\u0947\u0902 \u0906\u091c \u0915\u094b\u0930\u094b\u0928\u093e \u0935\u093e\u092f\u0930\u0938 \u0915\u0947 1,297 \u0928\u090f \u092e\u093e\u092e\u0932\u0947 \u0938\u093e\u092e\u0928\u0947 \u0906\u090f \u0914\u0930 44 \u0932\u094b\u0917\u094b\u0902 \u0915\u0940 \u092e\u094c\u0924 \u0939\u0941\u0908\u0964 \u092e\u0941\u0902\u092c\u0908 \u092e\u0947\u0902 \u0905\u092c \u0915\u094b\u0930\u094b\u0928\u093e \u0935\u093e\u092f\u0930\u0938 \u092a\u0949\u091c\u093f\u091f\u093f\u0935 \u092e\u093e\u092e\u0932\u094b\u0902 \u0915\u0940 \u0915\u0941\u0932 \u0938\u0902\u0916\u094d\u092f\u093e \u092c\u0922\u093c\u0915\u0930 72,287 \u0939\u094b \u0917\u0908 \u0939\u0948, \u0915\u094b\u0930\u094b\u0928\u093e \u0935\u093e\u092f\u0930\u0938 \u0938\u0947 \u0939\u094b\u0928\u0947 \u0935\u093e\u0932\u0940 \u092e\u094c\u0924\u094b\u0902 \u0915\u093e \u0906\u0902\u0915\u0921\u093c\u093e 4,177 \u0939\u0948: \u0917\u094d\u0930\u0947\u091f\u0930 \u092e\u0941\u0902\u092c\u0908 \u0928\u0917\u0930 \u0928\u093f\u0917\u092e #Maharashtra #COVID19 https://t.co/30QDxDN4Ew",2,Covid-19
2059,"A hospital struggles to care for earthquake victims in Dhulikhel, a small town southeast of Katmandu : http://t.co/jGqUu8mEFu",0,Nepal Earthquake
2060,"- Modi govt sent 4 Ton relief material, Team of doctors, 10 x NDRF, JCBs, food, water, medicines to Nepal.

-... http://t.co/ouYkukOJl6",1,Nepal Earthquake
2061,"Nepal earthquake: Homeless urgently need tents; Death toll above 5,200
Read More &gt;&gt;... http://t.co/42B4VaQ9rO",0,Nepal Earthquake
2062,"Go to blood donations!
#terremoto #earthquake",0,Italy Earthquake
2063,"Active numbers of the contact center of the Civil Protection: 800840840 
Civil Protection Lazio: 803555 #earthquake",1,Italy Earthquake
2064,@reenaabbasi leaving on Friday to Nepal with the hospital medical team,1,Nepal Earthquake
2065,"#Nepal earthquake  Today's morning appears very positive, rescue and rehabilitation of Nepalese and other nationals should be going smooth.",2,Nepal Earthquake
2066,Nepal Earthquake: Emergency Update - Direct Relief http://t.co/eWmvKEGkQp,2,Nepal Earthquake
2067,"RT @NewEarthquake: 5.0 earthquake, 47km SSE of Jumla, Nepal. Apr 21 19:47 at epicenter (39m ago, depth 40km). http://t.co/rVC4nRJ4a3",2,Nepal Earthquake
2068,RT @prasannavishy: Nepal Earthquake: India and China respond quickly to help a strategically important neighbour http://t.co/kIzPMW4VPR,2,Nepal Earthquake
2069,"Italy Earthquake: Death toll rises to 159, Army Mobilized, Dozens Buried in Amatrice - NBC News https://t.co/L8uykmjPx0",1,Italy Earthquake
2070,"#COVID\u30fc19 \u0915\u094b \u0926\u0943\u0937\u094d\u091f\u093f\u0917\u0924 \u0930\u0916\u0924\u0947 \u0939\u0941\u090f #SSP_AGRA @IpsBablooKumar \u0926\u094d\u0935\u093e\u0930\u093e \u091a\u094c\u0915\u0940 \u092c\u0932\u0915\u0947\u0936\u094d\u0935\u0930 #\u0925\u093e\u0928\u093e_\u0928\u094d\u092f\u0942_\u0906\u0917\u0930\u093e \u0915\u093e \u0928\u093f\u0930\u0940\u0915\u094d\u0937\u0923 \u0935 \u0925\u093e\u0928\u093e \u0915\u094d\u0937\u0947\u0924\u094d\u0930 \u0915\u093e \u092d\u094d\u0930\u092e\u0923 \u0915\u0930\u0924\u0947 \u0939\u0941\u090f, #COVID19 \u0938\u0947 \u092c\u091a\u093e\u0935 \u0939\u0947\u0924\u0941 \u0928\u093f\u092f\u092e \u090f\u0935\u0902 #\u0938\u094b\u0936\u0932_\u0921\u093f\u0938\u094d\u091f\u0947\u0902\u0938\u093f\u0902\u0917 \u0915\u093e \u092a\u0942\u0930\u094d\u0923\u0924: \u092a\u093e\u0932\u0928 \u0915\u0930\u093e\u0928\u0947 \u0939\u0947\u0924\u0941 \u0921\u094d\u092f\u0942\u091f\u0940 \u092e\u0947\u0902 \u0932\u0917\u0947 \u092a\u0941\u0932\u093f\u0938 \u092c\u0932 \u0915\u094b \u0906\u0935\u0936\u094d\u092f\u0915 \u0926\u093f\u0936\u093e-\u0928\u093f\u0930\u094d\u0926\u0947\u0936 \u0926\u093f\u090f\u0964 https://t.co/y1W7ml2NbL",2,Covid-19
2071,"need food, water, tent  for Nepal Earthquake Survivors @NepalRelieffund  http://t.co/p61KNiTp5x http://t.co/C1QDZnWYry",0,Nepal Earthquake
2072,RT @WSJ: Nepal earthquake: India and China send rescue teams to Himalayan nation http://t.co/JV67WCCxH4 http://t.co/xhu1PI0AM5,1,Nepal Earthquake
2073,Keeping the families &amp; community impacted by the earthquake in our prayers. Free calls &amp; texts from the US to Italy…https://t.co/tuREM7TkSk,1,Italy Earthquake
2074,"really feeling for those at Amarice, Italy. Terrifying moments, and STILL aftershocks https://t.co/v0sl1ibvJJ",2,Italy Earthquake
2075,People are being treated outside of hospital in makeshift wards for fear of another earthquake #NepalQuake http://t.co/3IpjElDPtl,1,Nepal Earthquake
2076,"3Novices:SAVING THE STARVING UN says 1.4 million need food after Nepal earthquake http://t.co/XT3nCHYgYB April 28, 2015 at 03:24PMFor inf…",0,Nepal Earthquake
2077,RT @dipaksapkota: Tents and tents. People in earthquake-hit areas are in dire need of tents.,0,Nepal Earthquake
2078,#ITALY: #URGENTE-&gt; #TERREMOTO #Earthquake Critical Appeals For #Blood Donation of ALL KINDS! #SANGUE 🆘 @LiveEdges👊🏼🌬 https://t.co/10pG39rLE3,0,Italy Earthquake
2079,I am TRAMA  center #doctors and health worker and volunteers doing amazing job #Nepal #earth-quick,1,Nepal Earthquake
2080,"The earthquake in #nepal is a tragedy beyond imagination! But there is small room for great stories, such as this... http://t.co/mEL1OarUtP",2,Nepal Earthquake
2081,I feel bad to see this releasing on OTT platform\nAlso I can't deny the fact that releasing it in big theatre won't be of much help either due to #COVID19\nSo can't we postpone this?\nWhen things get stable please release it on big screen\nRespect his struggle his loss for god's sake https://t.co/zJQDA337Pu,2,Covid-19
2082,ARRL: Amateur Radio Volunteers Assisting in Italian Earthquake Response: Radio amateurs are taking part in th... https://t.co/tzBX4JYoCU,1,Italy Earthquake
2083,"RT @iHunnt: ktm joining road blocked at near mugling #help 
#NepalEarthquake 
#earthquake 
Bus with passengers trapped. http://t.co/E58UYe8…",1,Nepal Earthquake
2084,"Dera Sacha Sauda has offered doctors,medicines and eatable itms to Nepal in the aftrmath of the destrction caused by d massive earthquake.",1,Nepal Earthquake
2085,"Italy quake - Young girl found alive under rubble, but at least 240 dead. ShelterBox team has arrived in country. https://t.co/IMw7GLStFt",1,Italy Earthquake
2086,"RT @jagdevinsan1: #MSGHelpEarthquakeVictims Whenever an earthquake or tsunami takes thousands of innocent lives, a shocked world talks of l…",2,Nepal Earthquake
2087,#Terremoto #Mondo 6.8 - MYANMAR https://t.co/Z2H3G4qLoB Terremoti nel mondo!,2,Italy Earthquake
2088,"Yuwa thoughts and prayers are with those affected by the earthquake in Nepal, including Mashreeb Aryal, Yuwa's... http://t.co/ZqezYRpXDx",2,Nepal Earthquake
2089,They need help. Waiting for food @gorkha earthquake victims #gorkhaearthquake http://t.co/5yMdQYoHq4,0,Nepal Earthquake
2090,"Call now, check on your loved ones - Optimum customers: free calls to Italy after quake https://t.co/hDcFuL1Sfs via @dailyrecord",1,Italy Earthquake
2091,RT @hypebot: Apple Responds To Nepal Earthquake With iTunes Fundraising Campaign  http://t.co/n0Vqizij02,2,Nepal Earthquake
2092,A Muslim Hospital from Deoband UP send Free Medical relief camp for earthquake victims in Nepal http://t.co/Myp5khAxul,1,Nepal Earthquake
2093,RT @shikhagautam: #Nepal earthquake - huge requirement of food &amp; water in smaller villages outside the cities. RT &amp; tag NGOs/individuals/or…,0,Nepal Earthquake
2094,"RT @Ostrov_A: #IDF delegation that flew out to #Nepal, incl. 240 medical &amp; logistics officers + field hospital crew: http://t.co/yBAsSchlUb…",1,Nepal Earthquake
2095,"【微小地震速報 茨城県22/319】
2016/08/24 18:32:49 JST, 
日本 茨城県 桜川市役所の南10km, 
M1.2, TNT951.5g, 深さ66.3km, 
MAP https://t.co/DNJ2zxC1RV 1572",2,Italy Earthquake
2096,Pratap Pharmaceuticals: Providing Free Medicines to Nepal Earthquake Victi... http://t.co/32ovGWEGTG,1,Nepal Earthquake
2097,"RT @AlRoxburgh: Spoke to my brother in #Nepal. Urgent need clearly water, food and shelter.
Rain coming down and aftershocks continuing #Ne…",0,Nepal Earthquake
2098,"#Delhi #Sikh body sends 25,000 #food packets to #Nepal | http://t.co/b3roO2Ucgo | #India #Earthquake #infoblazeIND",1,Nepal Earthquake
2099,"#Amatrice mayor (Rieti province close to epicentre): ""we need special units to rescue trapped people"" #terremoto #earthquake",0,Italy Earthquake
2100,RT @SoaneeKay: Distributed water purifiers around KTM to the earthquake victims - market out of stock - if anyone know plz let us know. Hel…,0,Nepal Earthquake
2101,My thoughts go out to the people of Italy who have suffered a devastating earthquake @Telstra free calls to Italy  https://t.co/vNHc6mJVjD,1,Italy Earthquake
2102,Immediate Relief for Nepal #Earthquake Survivors @NepalRelieffund Relief Fund - Food and Water http://t.co/p61KNiTp5x,1,Nepal Earthquake
2103,RT @PDChina: China on Wednesday sent 3 military helicopters to #Nepal to help with the country's earthquake rescue missions. http://t.co/cc…,1,Nepal Earthquake
2104,RT @setopati: What Nepal can learn from 2005 Pakistan earthquake https://t.co/PhHtXmhlqU via @setopati http://t.co/eCrNkyfp4N,2,Nepal Earthquake
2105,I added a video to a @YouTube playlist http://t.co/0lYQMUg6O0 Nepal EarthQuake-2015 (Pic Collection),2,Nepal Earthquake
2106,"Gynaecologists, Pediatricians needed in earthquake-hit Nepal: IMA: ""Right now our 13… http://t.co/grkPY4fBpI SPS®",0,Nepal Earthquake
2107,Nepal earthquake: First baby born in field hospital named Lahore: The first baby born… http://t.co/OU6ujNUOi6 SPS®,1,Nepal Earthquake
2108,@elquesogrande1 @robertjbennett @ramez @UciliaWang @alisonmoodie @GuardianSustBiz Now if only we could harness earthquake energy.,2,Italy Earthquake
2109,"M6.2 #earthquake in #Italy with one M5.5 aftershock already. Wow. I hope aid is swift, since reports are bad. https://t.co/qxtu9BkrPK",2,Italy Earthquake
2110,Don't know how much we can trust but China has conducted 9.04 crore covid tests ... around 3 times that of USA .... #COVID19 #CovidTesting \n\nSource - https://t.co/dRfKdjJH9S,2,Covid-19
2111,"Nearly 5,400 Indians have been brought back so far from earthquake hit Nepal. Briefing media in New Delhi this... http://t.co/sFN3qGxd86",2,Nepal Earthquake
2112,Red Cross wants Italians in #Earthquake Disaster Area to Deactivate Wi-Fi Passwords. #Terremoto,0,Italy Earthquake
2113,"Earthquake in Nepal.
Golden Temple to send 1 lac and Delhi Gurdwaras to send 25 thousand meals daily.

Those who... http://t.co/hAzOneJo4y",1,Nepal Earthquake
2114,@potus are we sending any support to Italy quake victims? The Republic of California has trained resources who can help. Get off your ass.,1,Italy Earthquake
2115,"@trustjssues Ciao! haha always great to be mention in an Italian tweet. Btw, hope everything is fine after the earthquake. Have a lovely day",2,Italy Earthquake
2116,"Over 3200 killed in Nepal earthquake, really terrifying figures.",2,Nepal Earthquake
2117,"Grande City Clinic and Hospital, Jamal  is organizing free #Camp for #earthquake_victims. from 10am-2pm..
#free_checkup #free_medications",1,Nepal Earthquake
2118,So much devastation. Pray for Italy. https://t.co/u83m0SCNn4,2,Italy Earthquake
2119,#BitcoinMining I will donate plasma and invest the $70 from the donation… https://t.co/A5OhvPweVz ⭕ Powered by https://t.co/0I4IIflkwI  √ https://t.co/qlnLgeooBG,1,Covid-19
2120,"RT @mamtan14: What Nepal will need 
clothes 
Blankets
dried Food (Biscuits etc) 
Portable Toilets ( Japan Shld Donate) 
Medicines 
Water",0,Nepal Earthquake
2121,A four-month-old baby miraculously survived the Nepal earthquake and was pulled alive from Nepal rubble 22 hours... http://t.co/v90sAiy3sH,2,Nepal Earthquake
2122,"Following earthquake, @comcast offers customers free calls and texts to Italy.https://t.co/qolcOBbcLi",1,Italy Earthquake
2123,"Need half millions long lasting tent to support earthquake victims.
http://t.co/rLtuaG0UoY",0,Nepal Earthquake
2124,The students are impressed! Innovation is needed in these testing #COVID19 times as many students cannot afford a smartphone or an internet connection. https://t.co/glIrizxTsQ,2,Covid-19
2125,"Italy Earthquake: Army Mobilized, Dozens Buried in Amatrice - An earthquake hit central Italy early Wednesday, ... https://t.co/HO8PwhWb4G",1,Italy Earthquake
2126,@HistoryFlick @neverknownfacts 7.9 Ri Earthquake hit Nepal last Saturday. »»http://t.co/0yBUacTvBS,2,Nepal Earthquake
2127,"No Internet, no communication to the external world. This #Nepal #Earthquake and aftershocks are really terrible",0,Nepal Earthquake
2128,"Nepal earthquake: 4000 people travel through bus to India
Read more: http://t.co/tbNAKoOJmi http://t.co/gkcClcO6eX",1,Nepal Earthquake
2129,it was st patricks day 2014 i think or last year idk and like i was lit naked infront of the bathroom sink aND THE EARTHQUAKE HAPPENED,2,Italy Earthquake
2130,RT @MSF_Ind: We are currently  sending 4 medical and non-medical teams to #Nepal to aid those affected by the #earthquake.,1,Nepal Earthquake
2131,JUST IN\n\nDelhi Govt orders All #COVID19 hospitals in #Delhi\n\n1. To get CCTVs installed ASAP in all wards\n\n2. Create waiting areas for an attendant with a #COVID patient each\n\n3. Create helpdesks to provide updates on patients\u2019 condition.\n\n@ArvindKejriwal\n@msisodia,2,Covid-19
2132,Heavy earth quake struck in Italy .god saved the people's in Italy thank god.,2,Italy Earthquake
2133,"Relief group heading to North-Dhading tomorrow.
Volunteer Doctors/Medical Professionals Needed.

Contact - 9741311750

#Nepal #Earthquake",0,Nepal Earthquake
2134,Today May 4 9:30am onwards #TYC Blood Drive at Teaching Hospital for earthquake victims. Pls share. #NepalEarthquake #tibetansfornepal,1,Nepal Earthquake
2135,RT @SirJadeja: Indian Army has set up base at epicentre of earthquake which hit Nepal massively.Our Army Forces have heart of gold. #Salute…,2,Nepal Earthquake
2136,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.,0,Nepal Earthquake
2137,"Nepal Earthquake Relief 
Surgical Material &amp; Medicines

From : 
Dr. Sachin Sharma
Medical Director (Gopal... http://t.co/djDEIKZqee",1,Nepal Earthquake
2138,"Nepal Earthquake: Digging With Bare Hands, Man Finds Sister's Body in Debris http://t.co/IFpZR9Si3w (video)",2,Nepal Earthquake
2139,"Need of Shelter for Earthquake Victim with Muscular Disorder, Nepal
http://t.co/kOWWO0bUjk
#HelpEathquakeVictimNepal",0,Nepal Earthquake
2140,"RT @TheShwetaPandit: Nepal.. Prayers 🙏🏻

Earthquake n Avalanche! Death toll rising.. Water n electricity cut! No food! Sanitation issues!",0,Nepal Earthquake
2141,Italian Red Cross urges locals to disable WiFi passwords following devastating earthquake - https://t.co/LO3MrUR5dy,0,Italy Earthquake
2142,UNICEF Ambassador Selena Gomez Talks About Nepal Earthquake http://t.co/tyKc5VVkfG,2,Nepal Earthquake
2143,Pope dispatches Vatican firefighters to help in Italy quake rescue: Pope Francis on Wednesday ... https://t.co/G08FfEpTot (via GMA News),1,Italy Earthquake
2144,#Nepal #earthquake Help out! Give to Nepal Relief Fund - #donate for Food and Water http://t.co/p61KNiTp5x.,0,Nepal Earthquake
2145,homeless earthquake survivors need your support.Give to Nepal Relief Fund-for Food and Water http://t.co/p61KNiTp5x. http://t.co/mPHemF9pcx,0,Nepal Earthquake
2146,"Our country has been ravaged by earthquake, I hope you consider this http://t.co/GLO7IJcCd1 #NepalQuakeVictims #NepalQuakeRelief",2,Nepal Earthquake
2147,CBC TORONTO: 'Calls are coming in from everywhere': Torontonians sending aid to Italian earthquake zone https://t.co/ejQ3AGI3xQ,1,Italy Earthquake
2148,RT @UNDP: A perfect storm of earthquake &amp; poor governance could cripple #Nepal. @UN_Piper to @guardian: http://t.co/vfy72YCUXQ http://t.co/…,2,Nepal Earthquake
2149,\u0a15\u0a47\u0a02\u0a26\u0a30\u0a40 \u0a17\u0a4d\u0a30\u0a39\u0a3f \u0a38\u0a15\u0a71\u0a24\u0a30 \u0a26\u0a41\u0a06\u0a30\u0a3e 21 \u0a1c\u0a42\u0a28 \u0a28\u0a42\u0a70 \u0a15\u0a47\u0a02\u0a26\u0a30\u0a40 \u0a17\u0a4d\u0a30\u0a39\u0a3f \u0a2e\u0a70\u0a24\u0a30\u0a40 \u0a38\u0a3c\u0a4d\u0a30\u0a40 @AmitShah \u0a26\u0a40 \u0a2a\u0a4d\u0a30\u0a27\u0a3e\u0a28\u0a17\u0a40 \u0a39\u0a47\u0a20 \u0a26\u0a3f\u0a71\u0a32\u0a40 \u0a32\u0a08 #COVID19 \u0a26\u0a40 \u0a2a\u0a4d\u0a30\u0a24\u0a40\u0a15\u0a3f\u0a30\u0a3f\u0a06 \u0a2f\u0a4b\u0a1c\u0a28\u0a3e \u0a2c\u0a3e\u0a30\u0a47 \u0a32\u0a0f \u0a17\u0a0f \u0a2b\u0a3c\u0a48\u0a38\u0a32\u0a3f\u0a06\u0a02 \u0a28\u0a42\u0a70 \u0a32\u0a3e\u0a17\u0a42 \u0a15\u0a30\u0a28 \u0a2c\u0a3e\u0a30\u0a47 \u0a38\u0a2e\u0a40\u0a16\u0a3f\u0a06 \u0a2e\u0a40\u0a1f\u0a3f\u0a70\u0a17 \u0a15\u0a40\u0a24\u0a40-\u0a35\u0a47\u0a30\u0a35\u0a3e: https://t.co/MUxO23sRXq\n@HMOIndia \n@PIBHomeAffairs\n@MIB_India\n@PIB_India\n@PMOIndia https://t.co/YdFdnHznK2,2,Covid-19
2150,"RT @dlnepalnews: Rescuers struggle to reach victims of Nepal earthquake as death toll tops 3,700: Rescue workers raced to reach... http://t…",2,Nepal Earthquake
2151,There is shortage of Blood as well as oxygen cylinders...Nepal is in huge crisis.,0,Nepal Earthquake
2152,Donate for Earthquake Survivors Give to Nepal Relief Fund-for Food and Water need urgent http://t.co/QRRfuqMdbT funds on #indiegogolife,0,Nepal Earthquake
2153,RT @rajeevk1949: @_RandhirSingh_ @DrGPradhan @upma23 2/2 event of an earthquake there They fear if they go to Nepal they will be branded as…,2,Nepal Earthquake
2154,The Red Cross asks Italians to deactivate their Wi-Fi passwords for earthquake relief: https://t.co/ttILZmKp0X … https://t.co/LfIAJYp0Q3,0,Italy Earthquake
2155,@ravishndtv sir lutyens Delhi saari earthquake resistant hogi .... Pkaaaaaa !!!!!!,2,Nepal Earthquake
2156,Not again.. #Earthquake again at #Nepal at 05:14 PM :(,2,Nepal Earthquake
